time,Baranyi-Roberts predictions
0.0,691.5580999999999
0.6030150753768844,1040.9556338087998
1.2060301507537687,1566.6718374154561
1.809045226130653,2357.397882045541
2.4120603015075375,3546.0775465172983
3.015075376884422,5331.533172263272
3.618090452261306,8010.089783499516
4.221105527638191,12021.10253213046
4.824120603015075,18010.898118507273
5.427135678391959,26919.022107070836
6.030150753768844,40086.73632550177
6.633165829145728,59376.32244542044
7.236180904522612,87264.30895205926
7.839195979899497,126825.40055183397
8.442211055276381,181460.50849416314
9.045226130653266,254183.3104702411
9.64824120603015,346375.3512602045
10.251256281407034,456286.5709176599
10.854271356783919,578121.5992545853
11.457286432160803,702741.7076865907
12.060301507537687,820156.7373388488
12.663316582914572,922524.6485973719
13.266331658291456,1005908.7950934425
13.86934673366834,1070149.1159001768
14.472361809045225,1117548.5764341515
15.07537688442211,1151418.9805753336
15.678391959798994,1175071.4303080738
16.281407035175878,1191324.3220915268
16.884422110552762,1202369.2305649526
17.487437185929647,1209818.4403255184
18.09045226130653,1214816.9563155312
18.693467336683415,1218159.5450807738
19.2964824120603,1220389.6665380425
19.899497487437184,1221875.2912572173
20.50251256281407,1222863.9504941234
21.105527638190953,1223521.4405979074
21.708542713567837,1223958.4951617317
22.31155778894472,1224248.9319996305
22.914572864321606,1224441.898127073
23.51758793969849,1224570.0877543567
24.120603015075375,1224655.238104437
24.72361809045226,1224711.796174611
25.326633165829143,1224749.3613871373
25.929648241206028,1224774.311120495
26.532663316582912,1224790.881731483
27.135678391959797,1224801.8871405711
27.73869346733668,1224809.1963528516
28.341708542713565,1224814.0507217727
28.94472361809045,1224817.2747106396
29.547738693467334,1224819.4158913724
30.15075376884422,1224820.8379335592
30.753768844221103,1224821.7823666818
31.356783919597987,1224822.409600777
31.95979899497487,1224822.82617071
32.562814070351756,1224823.1028305064
33.16582914572864,1224823.2865706733
33.768844221105525,1224823.4085994083
34.37185929648241,1224823.4896432597
34.97487437185929,1224823.543467512
35.577889447236174,1224823.579214213
36.18090452261306,1224823.6029549274
36.78391959798995,1224823.6187220279
37.38693467336683,1224823.629193543
37.98994974874371,1224823.6361480658
38.5929648241206,1224823.6407668272
39.19597989949749,1224823.6438343236
39.79899497487437,1224823.6458715585
40.40201005025125,1224823.6472245627
41.00502512562814,1224823.6481231411
41.608040201005025,1224823.6487199203
42.211055276381906,1224823.6491162677
42.81407035175879,1224823.649379491
43.417085427135675,1224823.6495543104
44.02010050251256,1224823.6496704114
44.62311557788944,1224823.6497475235
45.226130653266324,1224823.6497987357
45.82914572864321,1224823.6498327465
46.4321608040201,1224823.6498553306
47.03517587939698,1224823.6498703386
47.63819095477386,1224823.649880295
48.24120603015075,1224823.6498869134
48.84422110552764,1224823.6498913083
49.44723618090452,1224823.6498942238
50.0502512562814,1224823.6498961647
50.65326633165829,1224823.6498974527
51.256281407035175,1224823.6498983055
51.859296482412056,1224823.6498988755
52.46231155778894,1224823.6498992497
53.065326633165824,1224823.649899502
53.66834170854271,1224823.6498996676
54.27135678391959,1224823.6498997805
54.874371859296474,1224823.6498998501
55.47738693467336,1224823.6498999025
56.08040201005025,1224823.649899933
56.68341708542713,1224823.6498999547
57.28643216080401,1224823.6498999677
57.8894472361809,1224823.6498999763
58.49246231155779,1224823.6498999808
59.09547738693467,1224823.6498999896
59.69849246231155,1224823.6498999896
60.30150753768844,1224823.6498999896
60.904522613065325,1224823.6498999982
61.507537688442206,1224823.6498999982
62.110552763819086,1224823.6498999982
62.713567839195974,1224823.6498999982
63.31658291457286,1224823.6498999982
63.91959798994974,1224823.6498999982
64.52261306532662,1224823.6498999982
65.12562814070351,1224823.6498999982
65.7286432160804,1224823.6498999982
66.33165829145727,1224823.6498999982
66.93467336683416,1224823.6498999982
67.53768844221105,1224823.6498999982
68.14070351758794,1224823.6498999982
68.74371859296483,1224823.6498999982
69.3467336683417,1224823.6498999982
69.94974874371859,1224823.6498999982
70.55276381909547,1224823.6498999982
71.15577889447235,1224823.6498999982
71.75879396984924,1224823.6498999982
72.36180904522612,1224823.6498999982
72.96482412060301,1224823.6498999982
73.5678391959799,1224823.6498999982
74.17085427135677,1224823.6498999982
74.77386934673366,1224823.6498999982
75.37688442211055,1224823.6498999982
75.97989949748742,1224823.6498999982
76.58291457286431,1224823.6498999982
77.1859296482412,1224823.6498999982
77.78894472361809,1224823.6498999982
78.39195979899498,1224823.6498999982
78.99497487437185,1224823.6498999982
79.59798994974874,1224823.6498999982
80.20100502512562,1224823.6498999982
80.8040201005025,1224823.6498999982
81.40703517587939,1224823.6498999982
82.01005025125627,1224823.6498999982
82.61306532663316,1224823.6498999982
83.21608040201005,1224823.6498999982
83.81909547738692,1224823.6498999982
84.42211055276381,1224823.6498999982
85.0251256281407,1224823.6499000068
85.62814070351757,1224823.6498999982
86.23115577889446,1224823.6499000068
86.83417085427135,1224823.6498999982
87.43718592964824,1224823.6499000068
88.04020100502512,1224823.6498999982
88.643216080402,1224823.6498999982
89.24623115577889,1224823.6499000068
89.84924623115577,1224823.6498999982
90.45226130653265,1224823.6499000068
91.05527638190954,1224823.6498999982
91.65829145728642,1224823.6499000068
92.26130653266331,1224823.6498999982
92.8643216080402,1224823.6499000068
93.46733668341707,1224823.6498999982
94.07035175879396,1224823.6499000068
94.67336683417085,1224823.6498999982
95.27638190954772,1224823.6498999982
95.87939698492461,1224823.6498999982
96.4824120603015,1224823.6498999982
97.08542713567839,1224823.6498999982
97.68844221105527,1224823.6498999982
98.29145728643215,1224823.6498999982
98.89447236180904,1224823.6498999982
99.49748743718592,1224823.6498999982
100.1005025125628,1224823.6498999982
100.70351758793969,1224823.6498999982
101.30653266331657,1224823.6498999982
101.90954773869346,1224823.6498999982
102.51256281407035,1224823.6498999982
103.11557788944722,1224823.6498999982
103.71859296482411,1224823.6498999982
104.321608040201,1224823.6498999982
104.92462311557787,1224823.6498999982
105.52763819095476,1224823.6498999896
106.13065326633165,1224823.6498999896
106.73366834170854,1224823.6498999896
107.33668341708542,1224823.6498999896
107.9396984924623,1224823.6498999896
108.54271356783919,1224823.6498999896
109.14572864321607,1224823.6498999896
109.74874371859295,1224823.6498999896
110.35175879396984,1224823.6498999896
110.95477386934672,1224823.6498999896
111.55778894472361,1224823.6498999896
112.1608040201005,1224823.6498999896
112.76381909547737,1224823.6498999896
113.36683417085426,1224823.6498999896
113.96984924623115,1224823.6498999896
114.57286432160802,1224823.6498999896
115.17587939698491,1224823.6498999896
115.7788944723618,1224823.6498999896
116.38190954773869,1224823.6498999896
116.98492462311557,1224823.6498999896
117.58793969849245,1224823.6498999896
118.19095477386934,1224823.6498999896
118.79396984924622,1224823.6498999896
119.3969849246231,1224823.6498999896
120.0,1224823.6498999896
